Phone Call Transcript,Sentiment,Customer Name,Total Purchases,Phone,Customer Type,Date,Year
"""أهلاً، حبيت أشكركم على سرعة حل المشكلة! الإنترنت رجع طبيعي."" ""بنشكرك على تواصلك يا فندم، وأي وقت نحن في الخدمة."" ""متشكرين جدًا على اهتمامكم.""",positive,Jenna Ortiz,9000.0,+20 012 1179346,New,10-2022,2022
"""السلام عليكم، بجد بشكركم جدًا على تحسن خدمة الإنترنت الفترة الأخيرة، السرعة بقت عالية ومستمرة وما بقتش بتقطع زي الأول."" ""وعليكم السلام يا أستاذ أحمد، شكرًا على ملاحظتك الجميلة، احنا سعداء إن الخدمة بقت أفضل مع حضرتك. لو في أي مشكلة أو استفسار تاني، احنا موجودين دايمًا."" ""بصراحة كان عندي مشاكل كتير قبل كده وبعت لكم شكاوى، بس المرة دي أنا شايف تحسن حقيقي، وده شيء مقدر. هل التحسن ده بسبب ترقية أو تحديث معين في المنطقة عندنا؟"" ""صحيح، إحنا عملنا تحديثات على الشبكة في المنطقة اللي حضرتك فيها، وده ساعد على تحسين السرعة والاستقرار. ونتمنى إن الخدمة تفضل مستقرة وأفضل كمان."" ""متشكر جدًا على مجهودكم، أنا فعلاً شايف فرق كبير، وده بيساعدني في شغلي لأن الإنترنت جزء أساسي من يومي."" ""ده واجبنا يا أستاذ أحمد، ونتمنى دايمًا تكون راضي عن الخدمة. لو في أي حاجة مستقبلًا احنا تحت أمرك.""",positive,Kristi Reyes,6000.0,+20 010 6841560,Loyal,09-2022,2022
"""أيوه، أنا زهقت بصراحة، كل مرة الإنترنت بيبقى بطيء جدًا وبقى شبه مستحيل أعمل حاجة بسببه."" ""متفهمين غضب حضرتك يا أستاذ علي، ياريت توصف لنا أكتر تفاصيل المشكلة علشان نقدر نساعد بشكل أسرع."" ""مش محتاج تفاصيل، المشكلة واضحة، السرعة بطيئة جدًا أغلب الوقت خصوصًا بالليل! بقالنا كذا شهر على الحال ده وكل شوية بقدم شكاوى من غير نتيجة."" ""حضرتك عندك كل الحق، هنرفع شكوى خاصة لقسم الدعم الفني علشان يعطوا البلاغ الأولوية القصوى ويتابعوا مع حضرتك بشكل مباشر."" ""خلاص تعبت من الكلام ده، كل مرة تقولوا كده ومفيش أي حل نهائي، حتى الفني اللي جالي من أسبوع قال لي مفيش حاجة ممكن نعملها!"" ""معلش يا أستاذ علي، المرة دي هنتابع الموضوع بشكل أدق ونحاول نلاقي حل. ممكن ناخد بعض البيانات الفنية زي الموديل الخاص بالراوتر وتفاصيل إضافية تساعدنا."" ""مش عارف أنا محتاج أغير الراوتر، ولا المشكلة في الشبكة نفسها؟ أنا بس عاوز حل وخلاص."" ""هنشتغل على الموضوع ونحاول نوفر لحضرتك تحديثات قريبة، ونأمل تكون دي آخر مرة تواجه فيها المشكلة.""",negative,Robert Costa,10000.0,+20 012 5038170,Regular,10-2024,2024
"""مرحبًا، كنت عاوز أستفسر لو في صيانة بتأثر على الإنترنت عندي اليومين دول."" ""أهلاً وسهلاً بحضرتك، نعم في بعض الصيانة الروتينية اللي ممكن تأثر شوية على السرعة في بعض الأوقات، لكن المفروض إن الموضوع يكون بسيط."" ""ماشي، لأنني لاحظت إن الإنترنت بيقطع لفترات قصيرة، وكنت عاوز أعرف لو الموضوع مؤقت."" ""أكيد، احنا دايمًا بنشتغل على تحسين الشبكة ولو في أي تأثير مؤقت هنحرص إنه ما يستمرش لفترات طويلة."" ""تمام، شكراً على المعلومة. لو في حاجة محتاجة تواصل من قبلكم، ممكن ترسلوا لي رسالة أو إشعار."" ""بالتأكيد، ولو في أي استفسار تاني احنا في الخدمة.""",natural,Colleen Morales,15000.0,+20 012 6225168,Regular,06-2022,2022
"""السلام عليكم، قدمت شكوى بخصوص الإنترنت من فترة، لكن لحد دلوقتي مفيش أي جديد."" ""وعليكم السلام يا أستاذ كريم، هنراجع الشكوى لحضرتك حالًا ونشوف التفاصيل. ممكن أعرف رقم الخط لو سمحت؟"" ""أكيد، رقمي 0123456789، المشكلة بقالها أكتر من أسبوع وما شفتش أي تحسن."" ""مفهوم، نعتذر لحضرتك عن التأخير، وهنحاول نسرّع المتابعة مع الدعم الفني."" ""أنا تعبت من الانتظار. كل مرة أكلمكم ومافيش حاجة بتحصل، هل في خطوات معينة بتحصل فعلاً ولا الموضوع مجرد تأجيل؟"" ""نتفهم شعور حضرتك، بالفعل إحنا متابعين الموضوع مع الفريق الفني علشان يحل المشكلة. هنحاول نسرع الاستجابة."" ""ياريت تكونوا واضحين، لو مفيش حل قولوها بصراحة."" ""بنعتذر مرة تانية يا أستاذ كريم، وبإذن الله هنوصل لحل ونبلغك فورًا.""",natural,Chad Irwin,7000.0,+20 010 8520117,New,11-2023,2023
"""مرحبًا، كنت عاوز أعمل استفسار بسيط، هل في عروض جديدة للإنترنت قريبًا؟"" ""أهلاً وسهلاً بحضرتك، بالفعل في عروض جديدة خاصة بالسرعات العالية، وممكن أساعدك في معرفة الأنسب ليك."" ""ده ممتاز، كنت بفكر أرفع السرعة عندي الفترة الجاية."" ""اختيار ممتاز، وهنضمن لحضرتك سرعة ثابتة وتناسب احتياجاتك اليومية."" ""ممتاز، شكرًا ليكم.""",positive,Autumn Deleon,14000.0,+20 015 6499000,New,11-2023,2023
"""أهلاً، كنت عاوز أعرف لو في أي تحديثات على السرعات اللي ممكن أختار منها؟"" ""أهلاً بيك يا أستاذ، نعم، في فعلاً سرعات أعلى بقت متوفرة الفترة دي."" ""ده ممتاز، أنا محتاج سرعة أعلى لاحتياجات الشغل."" ""نقدر نرتب لك ترقية على الفور للسرعة الأعلى اللي تناسب احتياجك."" ""ممتاز، شكرًا على الخدمة السريعة.""",natural,Jennifer Lawrence,49000.0,+20 011 7360005,Loyal,04-2024,2024
"""ألو، كنت عاوز أعرف لو في أي عروض على الإنترنت."" ""أهلاً بيك يا أستاذ، في عروض جديدة النهارده خاصة بباقات الإنترنت المنزلي، تقدر تختار الأنسب ليك."" ""ده كويس، ممكن توضح لي أكتر التفاصيل والأسعار؟"" ""بالطبع، العرض اللي يناسبك هو باقة السرعة العالية بتكلفة مخفضة. تقدر ترفع السرعة اللي عندك بدون أي تكاليف إضافية لمدة أول 3 شهور."" ""ده ممتاز، شكرًا على المعلومة.""",natural,Kara Reynolds,15000.0,+20 011 4510181,Regular,04-2023,2023
"""أيوه، أنا مش قادر أتحمل خدمة الإنترنت البطيئة دي، ده شيء مستفز بجد."" ""نتفهم غضب حضرتك، هل ممكن نعرف تفاصيل أكتر عن المشكلة؟"" ""مفيش غير إن الإنترنت بطيء ومش ثابت، وبكلمكم كتير بدون فايدة."" ""هنرفع الشكوى حالًا ونتابع بشكل أسرع مع الدعم الفني."" ""بجد الموضوع بقى لا يحتمل، لازم تلاقوا حل."" ""هنهتم بالشكاوى ونتابع لحد ما المشكلة تتحل.""",negative,Juan Gibson,15000.0,+20 012 9593853,Regular,11-2023,2023
"""أهلاً، كنت عاوز أسأل عن نظام الفواتير، عندي شوية استفسارات."" ""مرحبًا بحضرتك، تفضل اسأل عن أي حاجة تخص الفواتير."" ""هل في إمكانية للدفع أونلاين؟"" ""أيوة، تقدر تدفع من خلال الموقع الإلكتروني أو التطبيق بكل سهولة."" ""تمام، وكمان هل في فواتير متأخرة؟"" ""لا، كل الفواتير الخاصة بك مدفوعة. لو في أي استفسار تاني، إحنا هنا للمساعدة."" ""شكرًا ليك، الخدمة كويسة.""",natural,Robert Shaw,8000.0,+20 011 5084380,Loyal,02-2022,2022
"""مرحبًا، حبيت أشكركم على الدعم الفني، مش قادر أصدق إن الإنترنت بقى سريع كده."" ""أهلاً بيك، نحن سعداء إنك راضي. إحنا هنا علشان نقدم لك أفضل خدمة."" ""بالضبط، أنا شفت تحسن ملحوظ من بعد التحديث."" ""ده كان هدفنا، ومش هيكون آخر تحسين، بنشتغل دايمًا على تطوير الخدمة."" ""شكرًا ليكم على المجهود، أكيد هسجل لكم تقييم ممتاز.""",positive,Regina Banks,23000.0,+20 011 9609229,Loyal,03-2022,2022
"""ألو، أنا هنا تاني بخصوص الإنترنت، بجد تعبت منكم!"" ""نعتذر عن الإزعاج، هل ممكن تقول لي إيه اللي حصل؟"" ""النت بيفصل كل شوية، وبالفعل تواصلت معاكم أكثر من مرة وما فيش تغيير!"" ""هرفع بلاغ فوري للجهة المختصة، ونتأكد إنهم يتواصلوا معاك لحل المشكلة."" ""أرجوكم أسرعوا، الموضوع بقى صعب."" ""هنتابع الموضوع معاك في أقرب وقت ممكن.""",negative,Mr. John Payne Jr.,14000.0,+20 011 8296898,New,09-2024,2024
"ألو، مساء الخير. مساء النور يا فندم، مع حضرتك خالد من خدمة عملاء شركة الإنترنت. إزاي أقدر أساعد حضرتك؟ كنت محتاج أغير الباسورد بتاع شبكة الواي فاي بتاعتي. طبعًا يا فندم، ممكن أعرف الرقم المشترك أو رقم الحساب الخاص بحضرتك عشان أتأكد من البيانات؟ الرقم هو 0123456789. شكرًا لحضرتك، هراجع البيانات دقيقة واحدة... تمام، تم التحقق من الحساب. حضرتك تحب تغير الباسورد لإيه أو تحب إني أساعدك أختار باسورد قوي؟ أنا هغيره لباسورد جديد بنفسي، بس كنت عايز أعرف الخطوات اللي أقدر أعمل بيها كده. أكيد يا فندم. حضرتك محتاج تدخل على صفحة إعدادات الراوتر بكتابة عنوان الـ IP الخاص بيها في المتصفح (غالبًا بيكون 192.168.1.1). بعد كده، تدخل اسم المستخدم وكلمة المرور الافتراضية أو الحالية. في صفحة الإعدادات، تختار قسم ""الواي فاي"" أو ""الإعدادات اللاسلكية"" وتغير كلمة المرور هناك. بعد التغيير، متنساش تضغط على ""حفظ"" أو ""تطبيق"". تمام، ده سهل. شكرًا ليك على التوضيح. العفو يا فندم، إذا واجهت أي مشكلة في الخطوات دي، تقدر تتصل بينا في أي وقت. يومك سعيد! شكرًا ليك، مع السلامة.",natural,Michael Robles,39000.0,+20 015 9648680,New,12-2024,2024
"ألو، مساء الخير. مساء النور يا فندم، مع حضرتك عمر من خدمة عملاء شركة الإنترنت. إزاي أقدر أساعد حضرتك؟ كنت عايز أعرف إذا كان ممكن أحدد عدد الأجهزة اللي بتتصل بالواي فاي بتاعي. طبعًا يا فندم، ممكن أعرف الرقم المشترك أو رقم الحساب الخاص بحضرتك للتأكد من البيانات؟ الرقم هو 0123456789. شكرًا لحضرتك، هراجع البيانات دقيقة واحدة... تمام، تم التحقق من الحساب. بالنسبة لتحديد عدد الأجهزة المتصلة بالواي فاي، حضرتك ممكن تعمل ده من خلال إعدادات الراوتر. إزاي أقدر أعمل كده؟ حضرتك تدخل على صفحة إعدادات الراوتر بكتابة عنوان الـ IP في المتصفح (غالبًا بيكون 192.168.1.1). بعد كده تدخل اسم المستخدم وكلمة المرور الافتراضية أو الحالية. في صفحة الإعدادات، تروح لقسم ""إدارة الأجهزة"" أو ""قائمة الأجهزة المتصلة"". هناك، تقدر تحدد الحد الأقصى للأجهزة اللي تقدر تتصل بالشبكة أو تعمل حظر للأجهزة غير المرغوب فيها. تمام، هحاول أعمل كده. لو واجهتني مشكلة، ممكن أتصل بيكوا تاني؟ طبعًا يا فندم، إحنا هنا لمساعدتك في أي وقت. يومك سعيد! شكرًا ليك، مع السلامة. مع السلامة يا فندم.",natural,Michelle Bowman,30000.0,+20 011 5127518,New,02-2023,2023
ألو، مساء الخير. مساء النور يا فندم، مع حضرتك مريم من خدمة عملاء شركة الاتصالات. إزاي أقدر أساعد حضرتك؟ أنا شحنت رصيد بقيمة 100 جنيه من شوية، وفجأة الرصيد بقى 0 من غير ما أستخدمه! إزاي ده يحصل؟ متأسف جدًا على الإزعاج ده يا فندم. ممكن أعرف الرقم اللي حضرتك شحنت عليه الرصيد؟ الرقم هو 0123456789. بس ده مش هو المهم! الرصيد بتاعي راح من غير ما أعرف السبب! شكرًا لحضرتك، هراجع البيانات دقيقة واحدة... تمام، شايف إن الرصيد اتشحن فعلاً بـ100 جنيه، لكن تم استهلاكه على باقة الإنترنت وتجديد الاشتراكات التلقائية للخدمات. بس أنا مكنتش عارف إن في اشتراكات شغالة بتاخد الرصيد أوتوماتيك! دي حاجة مش مقبولة! متفهمة تمامًا قلقك، وأنا آسفة عن الإرباك. ممكن أساعدك في مراجعة كل الاشتراكات الحالية ونلغي اللي مش محتاجه؟ ياريت تلغي كل الاشتراكات غير الضرورية، وأنا مش عايز أي خصومات تانية بعد كده! تمام، هعمل ده لحضرتك حالًا. تم إلغاء كل الاشتراكات غير الضرورية. أعتذر مرة تانية عن الإزعاج. هل تحب أقدم لك أي مساعدة تانية؟ لا، بس أرجوكم حاولوا تحلوا المشاكل دي بسرعة عشان مافيش حد يواجه نفس المشكلة! العفو يا فندم، إحنا هنا لمساعدتك في أي وقت. يومك سعيد! مع السلامة.,negative,Kristen Bailey,2000.0,+20 011 1152365,Regular,02-2023,2023
ألو، مساء الخير. مساء النور، مع حضرتك رامي من خدمة العملاء. إزاي أقدر أساعدك؟ الشبكة عندي مش شغالة خالص، مش قادر أتصل أو أستقبل مكالمات. آسف جدًا على الإزعاج. ممكن تقولي رقمك؟ الرقم هو 01123456789.شكرًا. استني دقيقة أتحقق من الشبكة... لأ، فيه مشكلة في منطقتك. بنشتغل على حلها دلوقتي. المشكلة هتستمر لحد إمتى؟ متوقعين نحلها خلال 24 ساعة. شكرًا لصبرك,negative,Jennifer Shields,23000.0,+20 010 4194745,Regular,12-2023,2023
ألو، صباح الخير. صباح النور، مع حضرتك يوسف من خدمة العملاء. إزاي أقدر أساعدك حاولت أشحن رصيد ولم ينجح الأمر. الرصيد ما ظهرش. آسف عن كده. ممكن تقولي رقم تليفونك؟ الرقم هو 0123456789. هراجع حالة الشحن... لأ، العملية لم تتم. هأعيد شحن الرصيد لك دلوقتي. شكرًا، بس أتمنى ما يحصلش كده تاني. هابذل جهد كبير عشان أتأكد من كده. شكرًا لتفهمك.,negative,Jessica Kennedy,44000.0,+20 010 9023721,Regular,12-2022,2022
ألو، مساء الخير. مساء النور، مع حضرتك مريم من خدمة العملاء. إزاي أقدر أساعدك؟ كنت عايز أسأل عن كيفية تأمين شبكة الواي فاي عندي. طبعًا! فيه عدة خطوات بسيطة تقدر تتبعها. أول حاجة، تأكد إنك تغير كلمة السر الافتراضية. طيب، ممكن تقولي إزاي أغيرها؟ هتدخل على صفحة إعدادات الراوتر عن طريق كتابة IP الراوتر في المتصفح. بعد كده، هتلاقي خيار لتغيير كلمة السر. تمام، هل فيه أي خطوات تانية؟ أيوة، حاول تخفي اسم الشبكة أو SSID بتاعك عشان محدش يعرفها. وكمان فعل تشفير WPA3 لو متاح.,natural,Cole Riley,38000.0,+20 012 4618123,New,09-2024,2024
ألو، صباح الخير. صباح النور، مع حضرتك علي. إزاي أقدر أساعدك؟ عايز أعرف إزاي أقدر أحمي الشبكة بتاعتي من المتطفلين. طبعًا، أول حاجة تأكد إن كلمة السر بتاعتك قوية. استخدم مزيج من الأحرف والأرقام والرموز. هل في حاجة تانية أقدر أعملها؟ أيوة، ممكن تفعل خاصية MAC address filtering، بحيث تسمح فقط للأجهزة المعروفة بالدخول على الشبكة. عظيم، هعمل كده. شكراً على المساعدة!,natural,Lindsay Horne,1000.0,+20 010 1225626,VIP,03-2022,2022
ألو، مساء الخير. مساء النور، معاك سارة من خدمة العملاء. إزاي أقدر أساعدك؟ هل فيه تحديثات أمان لازم أعملها للواي فاي؟ أيوة، لازم تتأكد إن الراوتر بتاعك محدث لآخر إصدار من البرنامج. ده بيحسن الأمان ويصلح أي ثغرات. وكيف أقدر أعمل التحديث ده؟ هتدخل على صفحة إعدادات الراوتر، وتدور على خيار التحديث. لو في تحديث متاح، هتقدر تنزله من هناك.,natural,Tara Benitez,29000.0,+20 015 8777324,Loyal,03-2023,2023
ألو، صباح الخير. صباح النور، مع حضرتك فاطمة من خدمة العملاء. إزاي أقدر أساعدك؟ كنت عايز أسأل عن VPN. هل هو مفيد لتأمين شبكة الواي فاي؟ طبعًا! استخدام VPN بيشفر بياناتك وبيخفي هويتك على الإنترنت، وده بيضيف طبقة أمان لشبكتك. طيب، هل تنصحني بأفضل خدمة VPN؟ فيه خدمات ممتازة زي NordVPN وExpressVPN. اتأكد إنك تختار خدمة موثوقة.,natural,Kimberly Underwood,49000.0,+20 012 6801614,Loyal,02-2023,2023
nan,natural,Ashley Mitchell,42000.0,+20 010 3727979,Regular,10-2022,2022
nan,natural,Kenneth Bradley,11000.0,+20 015 5518620,VIP,06-2024,2024
nan,natural,Denise Hill,9000.0,+20 012 4538575,New,03-2022,2022
nan,natural,Tiffany Carey,10000.0,+20 011 3463076,VIP,10-2023,2023
